donor_name,year,currency,prices,crs_climate_adaptation_total_flow_gross,crs_climate_allocable_flow_disbursement_gross,crs_climate_mitigation_adaptation_overlap_significant_flow_disbursement_gross,crs_climate_mitigation_total_flow_gross,adaptation_excluding_overlap,mitigation_excluding_overlap,climate_total
United Kingdom,2012,GBP,constant,228.5056679466336,5914.514636656911,74.60620132102015,339.9804393279978,153.89946662561346,265.37423800697763,493.8799059536112
United Kingdom,2013,GBP,constant,776.7020401918676,7694.808233250776,432.45021237106937,731.3919656394019,344.2518278207982,298.9417532683325,1075.6437934602
United Kingdom,2014,GBP,constant,710.6152637370241,7797.46864701759,423.1451361950953,615.2244157315752,287.4701275419288,192.07927953647987,902.694543273504
United Kingdom,2015,GBP,constant,2125.9843383169077,8104.54393797607,1283.6518047520678,1567.3089244521834,842.3325335648399,283.6571197001156,2409.641458017023
United Kingdom,2016,GBP,constant,1764.4294407328266,8680.502068361147,863.1892061198502,1307.4050846465386,901.2402346129765,444.21587852668847,2208.645319259515
United Kingdom,2017,GBP,constant,1438.239848148923,8838.267117982621,514.0688851631352,1339.6596981280031,924.1709629857879,825.590812964868,2263.830661113791
United Kingdom,2018,GBP,constant,1489.7461922777939,9025.477388271807,450.00066538750565,1854.0450065345879,1039.7455268902881,1404.0443411470822,2893.790533424876
United Kingdom,2019,GBP,constant,1810.7278787368118,9956.983571191395,507.0087470433521,2065.5389856932243,1303.7191316934598,1558.5302386498722,3369.2581173866843
United Kingdom,2020,GBP,constant,1199.551040891612,8102.834422584631,282.09092785336134,1391.6300951894852,917.4601130382507,1109.539167336124,2309.090208227736
United Kingdom,2021,GBP,constant,120.17201604299999,5464.447123966,70.17925617899999,298.96921684899996,49.99275986399999,228.78996066999997,348.96197671299996
