year,indicator,donor_code,donor_name,recipient_code,recipient_name,currency,prices,value
2010,recipient_bilateral_flow_net,4,France,10001,"Africa, Total",EUR,constant,3533.3406567936895
2010,recipient_imputed_multi_flow_net,4,France,10001,"Africa, Total",EUR,constant,2140.5714447163996
2010,recipient_total_flow_net,4,France,10001,"Africa, Total",EUR,constant,5673.912101510089
2011,recipient_bilateral_flow_net,4,France,10001,"Africa, Total",EUR,constant,3695.2646093369626
2011,recipient_imputed_multi_flow_net,4,France,10001,"Africa, Total",EUR,constant,1643.544868587884
2011,recipient_total_flow_net,4,France,10001,"Africa, Total",EUR,constant,5338.809477924846
2012,recipient_bilateral_flow_net,4,France,10001,"Africa, Total",EUR,constant,3514.804699337923
2012,recipient_imputed_multi_flow_net,4,France,10001,"Africa, Total",EUR,constant,1657.5930509389284
2012,recipient_total_flow_net,4,France,10001,"Africa, Total",EUR,constant,5172.397750276851
2013,recipient_bilateral_flow_net,4,France,10001,"Africa, Total",EUR,constant,2591.7548960656163
2013,recipient_imputed_multi_flow_net,4,France,10001,"Africa, Total",EUR,constant,1635.384062965152
2013,recipient_total_flow_net,4,France,10001,"Africa, Total",EUR,constant,4227.138959030768
2014,recipient_bilateral_flow_net,4,France,10001,"Africa, Total",EUR,constant,2211.5826932055575
2014,recipient_imputed_multi_flow_net,4,France,10001,"Africa, Total",EUR,constant,0.0
2014,recipient_imputed_multi_flow_net,4,France,10001,"Africa, Total",EUR,constant,1477.8420042135108
2014,recipient_total_flow_net,4,France,10001,"Africa, Total",EUR,constant,3689.4246974190683
2015,recipient_bilateral_flow_net,4,France,10001,"Africa, Total",EUR,constant,2050.804023139303
2015,recipient_imputed_multi_flow_net,4,France,10001,"Africa, Total",EUR,constant,1667.6835092235376
2015,recipient_total_flow_net,4,France,10001,"Africa, Total",EUR,constant,3718.4875323628407
2016,recipient_bilateral_flow_net,4,France,10001,"Africa, Total",EUR,constant,2129.065341127458
2016,recipient_imputed_multi_flow_net,4,France,10001,"Africa, Total",EUR,constant,1630.4178743399766
2016,recipient_total_flow_net,4,France,10001,"Africa, Total",EUR,constant,3759.4832154674345
2017,recipient_bilateral_flow_net,4,France,10001,"Africa, Total",EUR,constant,2213.507399627675
2017,recipient_imputed_multi_flow_net,4,France,10001,"Africa, Total",EUR,constant,0.0
2017,recipient_imputed_multi_flow_net,4,France,10001,"Africa, Total",EUR,constant,2101.2249822754725
2017,recipient_total_flow_net,4,France,10001,"Africa, Total",EUR,constant,4314.732381903147
2018,recipient_bilateral_flow_net,4,France,10001,"Africa, Total",EUR,constant,2458.1141272622017
2018,recipient_imputed_multi_flow_net,4,France,10001,"Africa, Total",EUR,constant,2252.6603678361853
2018,recipient_total_flow_net,4,France,10001,"Africa, Total",EUR,constant,4710.774495098388
2019,recipient_bilateral_flow_net,4,France,10001,"Africa, Total",EUR,constant,2722.332242588684
2019,recipient_imputed_multi_flow_net,4,France,10001,"Africa, Total",EUR,constant,1908.9887800857634
2019,recipient_total_flow_net,4,France,10001,"Africa, Total",EUR,constant,4631.321022674448
2020,recipient_bilateral_flow_net,4,France,10001,"Africa, Total",EUR,constant,3772.857579914295
2020,recipient_imputed_multi_flow_net,4,France,10001,"Africa, Total",EUR,constant,2275.5334340841346
2020,recipient_total_flow_net,4,France,10001,"Africa, Total",EUR,constant,6048.39101399843
